title,authors,average_rating,language_code,publisher,tags
Harry Potter and the Half Blood Prince Harry Potter  6 ,J.K.Rowling/MaryGrandPré,4.57,eng,ScholasticInc.,"harry potter and the half blood prince harry potter  6 ,j.k.rowling/marygrandpré,scholasticinc."
Harry Potter and the Order of the Phoenix Harry Potter  5 ,J.K.Rowling/MaryGrandPré,4.49,eng,ScholasticInc.,"harry potter and the order of the phoenix harry potter  5 ,j.k.rowling/marygrandpré,scholasticinc."
Harry Potter and the Chamber of Secrets Harry Potter  2 ,J.K.Rowling,4.42,eng,Scholastic,"harry potter and the chamber of secrets harry potter  2 ,j.k.rowling,scholastic"
Harry Potter and the Prisoner of Azkaban Harry Potter  3 ,J.K.Rowling/MaryGrandPré,4.56,eng,ScholasticInc.,"harry potter and the prisoner of azkaban harry potter  3 ,j.k.rowling/marygrandpré,scholasticinc."
Harry Potter Boxed Set Books 1 5 Harry Potter  1 5 ,J.K.Rowling/MaryGrandPré,4.78,eng,Scholastic,"harry potter boxed set books 1 5 harry potter  1 5 ,j.k.rowling/marygrandpré,scholastic"
Unauthorized Harry Potter Book Seven News  Half Blood Prince Analysis and Speculation,W.FrederickZimmerman,3.74,en-US,NimbleBooks,"unauthorized harry potter book seven news  half blood prince analysis and speculation,w.frederickzimmerman,nimblebooks"
Harry Potter Collection Harry Potter  1 6 ,J.K.Rowling,4.73,eng,Scholastic,"harry potter collection harry potter  1 6 ,j.k.rowling,scholastic"
The Ultimate Hitchhiker s Guide Five Complete Novels and One Story Hitchhiker s Guide to the Galaxy  1 5 ,DouglasAdams,4.38,eng,GramercyBooks,"the ultimate hitchhiker s guide five complete novels and one story hitchhiker s guide to the galaxy  1 5 ,douglasadams,gramercybooks"
The Ultimate Hitchhiker s Guide to the Galaxy Hitchhiker s Guide to the Galaxy  1 5 ,DouglasAdams,4.38,eng,DelReyBooks,"the ultimate hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy  1 5 ,douglasadams,delreybooks"
The Hitchhiker s Guide to the Galaxy Hitchhiker s Guide to the Galaxy  1 ,DouglasAdams,4.22,eng,Crown,"the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy  1 ,douglasadams,crown"
The Hitchhiker s Guide to the Galaxy Hitchhiker s Guide to the Galaxy  1 ,DouglasAdams/StephenFry,4.22,eng,RandomHouseAudio,"the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy  1 ,douglasadams/stephenfry,randomhouseaudio"
The Ultimate Hitchhiker s Guide Hitchhiker s Guide to the Galaxy  1 5 ,DouglasAdams,4.38,eng,WingsBooks,"the ultimate hitchhiker s guide hitchhiker s guide to the galaxy  1 5 ,douglasadams,wingsbooks"
A Short History of Nearly Everything,BillBryson,4.21,eng,BroadwayBooks,"a short history of nearly everything,billbryson,broadwaybooks"
Bill Bryson s African Diary,BillBryson,3.44,eng,BroadwayBooks,"bill bryson s african diary,billbryson,broadwaybooks"
Bryson s Dictionary of Troublesome Words A Writer s Guide to Getting It Right,BillBryson,3.87,eng,BroadwayBooks,"bryson s dictionary of troublesome words a writer s guide to getting it right,billbryson,broadwaybooks"
In a Sunburned Country,BillBryson,4.07,eng,BroadwayBooks,"in a sunburned country,billbryson,broadwaybooks"
I m a Stranger Here Myself Notes on Returning to America After Twenty Years Away,BillBryson,3.9,eng,BroadwayBooks,"i m a stranger here myself notes on returning to america after twenty years away,billbryson,broadwaybooks"
The Lost Continent Travels in Small Town America,BillBryson,3.83,eng,WilliamMorrowPaperbacks,"the lost continent travels in small town america,billbryson,williammorrowpaperbacks"
Neither Here nor There Travels in Europe,BillBryson,3.86,eng,WilliamMorrowPaperbacks,"neither here nor there travels in europe,billbryson,williammorrowpaperbacks"
